231	HLHmδ	22	modERN
232	HmgD	409	modERN
233	Hmx	477	modERN
234	Hr38	501	modERN
235	Hr39	502	modERN::modENCODE
236	Hr4	500	modERN
237	Hr46		modERN
238	Hr51	503	modERN
239	Hr78	504	modERN::modENCODE
240	Hr83	505	modERN
241	Hr96	506	modERN
242	Hsf	531	modERN
243	hth	614	modENCODE
244	ind	434	modERN
245	insv	532	modERN::modENCODE
246	Jra	71	modERN
247	kay	72	modERN
248	kni	511	modERN
249	Kr	278	modERN
250	lab	435	modERN
251	lbe	479	modERN
252	lilli	533	modERN
253	lola	283	modERN::modENCODE
254	lov	589	modENCODE
255	luna	284	modERN
256	lz	598	modERN
257	Mad	452	modERN
258	maf-S	73	modERN
259	Max	38	modERN
260	Med	453	modERN
261	Meics	288	modERN
262	MESR4	289	modERN
263	Met	39	modERN
264	Mio	42	modERN
265	mirr	615	modERN
266	Mnt	41	modERN
267	mod(mdg4)	535	modERN
268	MTF-1		modERN
269	Myb	604	modERN
270	Myc		modENCODE
271	N		modERN::modENCODE
272	nau	44	modERN
273	NC2α	537	modERN
274	net	45	modERN
275	Neu2	295	modERN
276	NfI	454	modERN
277	Nf-YB	355	modERN
278	Nf-YC	356	modERN
279	NK7.1	482	modERN
280	nmo		modERN
281	nom	297	modERN
282	oc	568	modERN
283	odd	299	modERN
284	OdsH	569	modERN
285	org-1	624	modERN
286	ovo	304	modERN
287	p53		modERN
288	pad	305	modERN
289	pan	412	modENCODE
290	pb	436	modERN
291	pdm3	595	modERN
292	Pdp1	74	modERN
293	pfk	584	modERN
294	PHDP	571	modERN
295	pho	307	modERN
296	phol	308	modERN
297	pita	310	modERN
298	pnt	374	modERN
299	prd	557	modENCODE
300	pros	597	modERN
301	pzg	314	modERN
302	Rel	490	modERN
303	repo	574	modERN
304	rgr	316	modERN
305	run	599	modERN
306	sage	47	modERN
307	salr	319	modERN
308	sc	48	modERN::modENCODE
309	schlank		modERN
310	scrt	320	modERN
311	sd	625	modERN
312	sens	321	modERN
313	shn	324	modERN
314	Side	49	modERN
315	sima	51	modERN
316	Six4	607	modERN
317	slou	484	modERN
318	slp2	393	modERN
319	Smox	455	modERN
320	Sox14	414	modERN
321	Sox15	415	modERN
322	Sp1	327	modERN
323	Sry-β	331	modERN
324	Sry-δ	332	modERN
325	ss	53	modERN
326	Ssrp	421	modERN
327	Stat92E	543	modERN::modENCODE
328	sug	335	modERN
329	Su(H)	545	modERN::modENCODE
330	su(Hw)	334	modERN::modENCODE
331	sv	552	modERN
332	Tbp		modENCODE
333	TFAM	422	modERN
334	tin	485	modERN
335	tio	338	modERN
336	tj	79	modERN
337	tll	508	modERN::modENCODE
338	toe	558	modERN
339	trh	57	modERN
340	Trl	341	modERN::modENCODE
341	ttk	343	modENCODE
342	tup	448	modERN
343	twi	58	modERN
344	unpg	486	modERN
345	Usf	60	modERN
346	usp	509	modERN::modENCODE
347	vfl	353	modERN
348	vri	80	modERN
349	Vsx1	577	modERN
350	Vsx2	578	modERN
351	wek	346	modERN
352	woc	548	modERN
353	Xbp1	81	modERN
354	zen	440	modERN
355	zfh2	350	modERN
